ID,lon,lat
0,106.898960491,-6.78621924968
1,106.903473707,-6.78625745189
2,106.907986949,-6.78629561232
3,106.912500217,-6.78633373097
4,106.917013511,-6.78637180783
5,106.871920217,-6.78147794753
6,106.876433235,-6.78151637461
7,106.880946279,-6.78155475995
8,106.885459349,-6.78159310353
9,106.889972446,-6.78163140537
10,106.894485568,-6.78166966546
11,106.898998716,-6.7817078838
12,106.903511891,-6.78174606038
13,106.908025091,-6.78178419522
14,106.912538317,-6.78182228829
15,106.91705157,-6.78186033962
16,106.921564848,-6.78189834918
17,106.926078152,-6.78193631699
18,106.84939418,-6.77677410278
19,106.853907025,-6.77681271264
20,106.862932794,-6.77688980722
21,106.867445718,-6.77692829194
22,106.871958667,-6.77696673494
23,106.876471644,-6.77700513623
24,106.880984646,-6.7770434958
25,106.885497674,-6.77708181365
26,106.890010729,-6.77712008977
27,106.894523809,-6.77715832418
28,106.899036916,-6.77719651687
29,106.903550049,-6.77723466783
30,106.908063207,-6.77727277706
31,106.912576392,-6.77731084457
32,106.917089602,-6.77734887036
33,106.921602839,-6.77738685441
34,106.926116101,-6.77742479673
35,106.840407285,-6.77218572562
36,106.844920036,-6.77222439291
37,106.849432813,-6.77226301852
38,106.853945616,-6.77230160244
39,106.858458445,-6.77234014469
40,106.862971301,-6.77237864524
41,106.867484183,-6.77241710411
42,106.871997091,-6.7724555213
43,106.876510026,-6.77249389679
44,106.881022986,-6.77253223059
45,106.885535973,-6.77257052271
46,106.890048986,-6.77260877313
47,106.894562025,-6.77264698185
48,106.89907509,-6.77268514889
49,106.903588181,-6.77272327422
50,106.908101298,-6.77276135786
51,106.91261444,-6.7727993998
52,106.917127609,-6.77283740004
53,106.921640804,-6.77287535859
54,106.926154024,-6.77291327542
55,106.930667271,-6.77295115056
56,106.813370276,-6.76744196978
57,106.817882826,-6.76748086098
58,106.822395403,-6.76751971053
59,106.826908006,-6.76755851844
60,106.835933292,-6.7676360093
61,106.840445975,-6.76767469225
62,106.844958684,-6.76771333356
63,106.849471419,-6.7677519332
64,106.85398418,-6.7677904912
65,106.858496968,-6.76782900754
66,106.863009782,-6.76786748222
67,106.867522623,-6.76790591524
68,106.872035489,-6.7679443066
69,106.876548382,-6.7679826563
70,106.881061301,-6.76802096434
71,106.885574246,-6.76805923072
72,106.890087217,-6.76809745543
73,106.894600214,-6.76813563848
74,106.899113237,-6.76817377986
75,106.903626287,-6.76821187957
76,106.908139362,-6.76824993761
77,106.912652463,-6.76828795398
78,106.91716559,-6.76832592869
79,106.921678743,-6.76836386171
80,106.926191922,-6.76840175307
81,106.930705126,-6.76843960275
82,106.966811691,-6.76874089975
83,106.520154376,-6.76031565079
84,106.804384252,-6.76285323694
85,106.808896707,-6.76289218521
86,106.813409189,-6.76293109188
87,106.817921698,-6.76296995692
88,106.822434233,-6.76300878034
89,106.826946795,-6.76304756215
90,106.831459383,-6.76308630233
91,106.835971997,-6.76312500089
92,106.840484638,-6.76316365783
93,106.844997305,-6.76320227315
94,106.849509999,-6.76324084684
95,106.854022719,-6.7632793789
96,106.858535465,-6.76331786933
97,106.863048237,-6.76335631814
98,106.867561036,-6.76339472531
99,106.872073861,-6.76343309085
100,106.876586712,-6.76347141476
101,106.881099589,-6.76350969704
102,106.885612492,-6.76354793768
103,106.890125422,-6.76358613668
104,106.894638377,-6.76362429405
105,106.899151359,-6.76366240978
106,106.903664367,-6.76370048387
107,106.9081774,-6.76373851631
108,106.91269046,-6.76377650712
109,106.917203545,-6.76381445628
110,106.921716656,-6.7638523638
111,106.926229793,-6.76389022967
112,106.930742956,-6.76392805389
113,106.935256145,-6.76396583647
114,106.93976936,-6.7640035774
115,106.962335818,-6.76419165725
116,106.966849187,-6.76422914826
117,106.971362581,-6.76426659761
118,106.511174685,-6.75572332816
119,106.515685311,-6.75576495082
120,106.520195965,-6.75580653197
121,106.524706647,-6.75584807161
122,106.799910834,-6.75830344672
123,106.804423222,-6.75834241037
124,106.808935635,-6.75838133244
125,106.813448076,-6.75842021291
126,106.817960543,-6.7584590518
127,106.822473036,-6.7584978491
128,106.826985556,-6.7585366048
129,106.831498103,-6.75857531892
130,106.836010675,-6.75861399144
131,106.840523275,-6.75865262236
132,106.8450359,-6.75869121169
133,106.849548552,-6.75872975941
134,106.854061231,-6.75876826555
135,106.858573935,-6.75880673008
136,106.863086666,-6.758845153
137,106.867599423,-6.75888353433
138,106.872112206,-6.75892187405
139,106.876625016,-6.75896017217
140,106.881137851,-6.75899842868
141,106.885650713,-6.75903664359
142,106.890163601,-6.75907481689
143,106.894676515,-6.75911294857
144,106.899189455,-6.75915103865
145,106.90370242,-6.75918908712
146,106.908215412,-6.75922709397
147,106.91272843,-6.75926505921
148,106.917241474,-6.75930298283
149,106.921754544,-6.75934086483
150,106.926267639,-6.75937870522
151,106.93078076,-6.75941650399
152,106.935293908,-6.75945426114
153,106.939807081,-6.75949197667
154,106.944320279,-6.75952965057
155,106.948833504,-6.75956728286
156,106.953346754,-6.75960487351
157,106.95786003,-6.75964242255
158,106.962373331,-6.75967992995
159,106.966886658,-6.75971739573
160,106.971400011,-6.75975481987
161,106.470622355,-6.75083804626
162,106.475132683,-6.75088001414
163,106.479643038,-6.75092194056
164,106.484153423,-6.75096382551
165,106.488663836,-6.75100566899
166,106.493174277,-6.751047471
167,106.497684747,-6.75108923153
168,106.502195246,-6.75113095059
169,106.506705773,-6.75117262818
170,106.511216329,-6.75121426428
171,106.515726913,-6.75125585891
172,106.520237526,-6.75129741206
173,106.524748166,-6.75133892373
174,106.529258836,-6.75138039392
175,106.533769533,-6.75142182262
176,106.633011991,-6.75232275624
177,106.777388491,-6.75359733493
178,106.781900703,-6.75363648012
179,106.786412942,-6.75367558376
180,106.790925208,-6.75371464584
181,106.7954375,-6.75375366637
182,106.799949819,-6.75379264534
183,106.804462165,-6.75383158275
